action,startend,xmin,xmax
1.0,0.0,0.0,0.01
0.0,1.0,0.01,0.02
0.0,1.0,0.02,0.03
8.1980207944426e-31,5.7826067886061865e-33,0.03,0.04
7.467859044357818e-23,2.872258145033666e-32,0.04,0.05
8.507584911850567e-20,2.7846496898270332e-34,0.05,0.06
1.1627393320527192e-17,0.0,0.06,0.07
1.2736054098760256e-15,6.086955191778256e-31,0.07,0.08
4.304033022014181e-38,1.4988137193676524e-31,0.08,0.09
3.5321200330705215e-22,8.908756088158808e-30,0.09,0.1
2.4471401467718312e-12,2.7180502293333575e-10,0.1,0.11
9.852240384891096e-26,9.677495350218779e-13,0.11,0.12
1.1487938378351714e-10,1.0041175949988355e-21,0.12,0.13
5.573774514849861e-12,1.0261281558357306e-27,0.13,0.14
2.4321730740517467e-10,1.0545250646821185e-20,0.14,0.15
1.211656747157619e-10,9.875729567454528e-09,0.15,0.16
5.22673484354419e-13,6.028266525984504e-22,0.16,0.17
4.8024676881940535e-30,7.125633828733029e-24,0.17,0.18
1.3734049356554153e-19,3.4321401332643906e-24,0.18,0.19
6.35414332294764e-35,1.5793356620819248e-23,0.19,0.2
4.764116849637186e-21,6.862734180236199e-29,0.2,0.21
3.2724902076948586e-29,3.3108964788558515e-13,0.21,0.22
4.524171464098586e-21,9.759514962382057e-25,0.22,0.23
2.8959581399590206e-08,0.0,0.23,0.24
1.5298753583414815e-11,3.149303040572704e-10,0.24,0.25
1.0804854233548156e-10,2.6453906005741993e-18,0.25,0.26
2.3461745879416185e-09,2.7752770242507607e-14,0.26,0.27
2.8356608172143936e-14,5.732166259923477e-23,0.27,0.28
2.552542110055748e-19,4.2723408144595965e-11,0.28,0.29
7.087112493578114e-16,1.0003568462479961e-07,0.29,0.3
2.135659400437362e-07,2.1384148851666396e-07,0.3,0.31
7.359866458500619e-07,3.196452217496537e-12,0.31,0.32
3.6776708345342968e-09,1.1857087534039579e-09,0.32,0.33
1.954053363562025e-09,2.9491634828682223e-12,0.33,0.34
2.829476930532593e-10,8.775135938776657e-06,0.34,0.35000000000000003
1.8865200672735227e-06,1.277983070163137e-30,0.35000000000000003,0.36
5.820499637820831e-09,8.552794028560129e-10,0.36,0.37
1.5699866753871028e-11,6.258257229059555e-20,0.37,0.38
2.771888048778878e-20,9.473698232080846e-16,0.38,0.39
7.669131996124179e-10,2.1403601113689774e-09,0.39,0.4
1.2584010222749242e-10,5.011609191977824e-19,0.4,0.41000000000000003
6.96765580098631e-18,3.957459886104887e-23,0.41000000000000003,0.42
6.105772202262159e-15,1.0505658165236784e-13,0.42,0.43
2.7566051993680764e-15,4.0394126260643803e-22,0.43,0.44
1.0059016120056441e-11,3.075296615091041e-23,0.44,0.45
6.431231213355204e-06,1.9330858691546382e-08,0.45,0.46
1.7299448549015772e-12,9.955401168151509e-14,0.46,0.47000000000000003
9.269375631643095e-13,7.456677690673846e-14,0.47000000000000003,0.48
2.2793606586738294e-29,4.6328260219674514e-26,0.48,0.49
1.5450786219614967e-28,9.019490157572984e-20,0.49,0.5
1.1355179761464566e-18,5.517458030718996e-28,0.5,0.51
2.245138970569105e-11,3.9720392451628736e-16,0.51,0.52
3.1612429340910353e-10,2.345241342768068e-19,0.52,0.53
2.2875474314787425e-07,1.9099432105318392e-11,0.53,0.54
0.0016304965829476714,0.00011635864211712033,0.54,0.55
3.2213576250939013e-09,1.8109649335684708e-09,0.55,0.56
1.1266595295600368e-11,0.0,0.56,0.5700000000000001
5.970917120109998e-13,1.6847352603927248e-26,0.5700000000000001,0.58
8.624834299553186e-05,1.2248058532220655e-24,0.58,0.59
4.162523495867071e-21,2.7431097890333044e-19,0.59,0.6
2.4218809249743067e-11,2.7638566435506107e-10,0.6,0.61
5.890112742624587e-19,9.032964931598997e-10,0.61,0.62
9.279375878801233e-12,2.2029087395356144e-32,0.62,0.63
2.3128393422666704e-08,2.391897108125929e-20,0.63,0.64
4.242241188326043e-14,7.363591141462851e-15,0.64,0.65
8.980710397565872e-09,3.046412270666862e-14,0.65,0.66
9.513876231964646e-13,1.3402246326621459e-11,0.66,0.67
1.6026676067003196e-20,8.325032601698665e-29,0.67,0.68
8.24365348514152e-30,1.2231036851139042e-18,0.68,0.6900000000000001
2.866092934556157e-19,2.581468357582786e-19,0.6900000000000001,0.7000000000000001
0.0,1.3123212738719303e-06,0.7000000000000001,0.71
